id,first_name,last_name,email,username,password,account_status,birthday,created_at,updated_at
2,Mateo,López,mateo.lopez@example.com,mlopez,p@55w0rd2!,active,1989-03-22,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
3,Valentina,Hernández,valentina.hernandez@example.com,vhernandez,p@55w0rd3!,inactive,1995-09-12,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
4,Diego,Martínez,diego.martinez@example.com,dmartinez,p@55w0rd4!,active,1990-01-08,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
5,Camila,Gómez,camila.gomez@example.com,cgomez,p@55w0rd5!,suspended,1993-04-05,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
6,Emilia,Torres,emilia.torres@example.com,etorres,p@55w0rd6!,active,1997-12-30,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
7,Lucas,Silva,lucas.silva@example.com,lsilva,p@55w0rd7!,inactive,1988-06-16,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
8,Isabella,Díaz,isabella.diaz@example.com,idiaz,p@55w0rd8!,active,1992-10-21,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
9,Santiago,Morales,santiago.morales@example.com,smorales,p@55w0rd9!,suspended,1985-11-19,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
10,Regina,Rojas,regina.rojas@example.com,rrojas,p@55w0rd10!,active,1994-08-25,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
11,Sebastián,Mendoza,sebastian.mendoza@example.com,smendoza,p@55w0rd11!,active,1990-02-14,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
12,Mariana,Navarro,mariana.navarro@example.com,mnavarro,p@55w0rd12!,inactive,1987-07-07,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
13,Andrés,Santos,andres.santos@example.com,asantos,p@55w0rd13!,active,1991-05-13,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
14,Renata,Castillo,renata.castillo@example.com,rcastillo,p@55w0rd14!,suspended,1996-10-02,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
